date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:46	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ec5b42e-247b%22	http://geojson.io/robots.txt		(from )
21:18:46	3246/3246	---M-Z	200	added ('OK')	text/html	etag:W/%225f8747c1-cae%22	http://geojson.io/	G:/personal/map%20site/geojson.io/index.html	(from )
21:18:46	28618/28618	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-6fca%22	http://geojson.io/lib/mapbox.js/latest/mapbox.css	G:/personal/map%20site/geojson.io/lib/mapbox.js/latest/mapbox.css	(from http://geojson.io/)
21:18:47	22084/22084	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-5644%22	http://geojson.io/css/font-awesome/css/font-awesome.min.css	G:/personal/map%20site/geojson.io/css/font-awesome/css/font-awesome.min.css	(from http://geojson.io/)
21:18:47	454/454	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-1c6%22	http://geojson.io/css/fonts/mplus.css	G:/personal/map%20site/geojson.io/css/fonts/mplus.css	(from http://geojson.io/)
21:18:47	6177/6177	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-1821%22	http://geojson.io/lib/draw/leaflet.draw.css	G:/personal/map%20site/geojson.io/lib/draw/leaflet.draw.css	(from http://geojson.io/)
21:18:48	5802/5802	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-16aa%22	http://geojson.io/lib/codemirror/lib/codemirror.css	G:/personal/map%20site/geojson.io/lib/codemirror/lib/codemirror.css	(from http://geojson.io/)
21:18:48	6184/6184	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-1828%22	http://geojson.io/css/base.css	G:/personal/map%20site/geojson.io/css/base.css	(from http://geojson.io/)
21:18:48	1796/1796	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-704%22	http://geojson.io/css/marker.css	G:/personal/map%20site/geojson.io/css/marker.css	(from http://geojson.io/)
21:18:48	484/484	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-1e4%22	http://geojson.io/css/github_browse.css	G:/personal/map%20site/geojson.io/css/github_browse.css	(from http://geojson.io/)
21:18:49	8482/8482	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-2122%22	http://geojson.io/css/site.css	G:/personal/map%20site/geojson.io/css/site.css	(from http://geojson.io/)
21:18:49	1095/1095	---M-Z	200	added ('OK')	text/css	etag:W/%225f8747c1-447%22	http://geojson.io/css/theme.css	G:/personal/map%20site/geojson.io/css/theme.css	(from http://geojson.io/)
21:18:49	4827/4827	---M--	200	added ('OK')	image/png	etag:%225f8747c1-12db%22	http://geojson.io/img/favicon.png	G:/personal/map%20site/geojson.io/img/favicon.png	(from http://geojson.io/)
21:18:51	5682/5682	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f8747c1-1632%22	http://geojson.io/dist/delegate.js	G:/personal/map%20site/geojson.io/dist/delegate.js	(from http://geojson.io/)
